排名,特征名称,互信息值,随机森林重要性,综合得分
1,BMI,0.04749933970833542,0.07443898373017968,0.06096916171925755
2,LDL_HDL_ratio,0.05406349442331759,0.046069174761956974,0.050066334592637284
3,空腹血糖,0.0,0.06835283779949643,0.034176418899748214
4,血尿酸,0.0,0.05830193237455295,0.029150966187276476
5,IADL做饭,0.02211095308303257,0.03045435185415268,0.026282652468592627
6,LDL-C（低密度脂蛋白）,0.0,0.05107006944128495,0.025535034720642474
7,ADL总分,0.008030092408823464,0.04192789224247532,0.02497899232564939
8,TC_HDL_ratio,0.00563388439629442,0.04372737194196885,0.024680628169131635
9,HDL-C（高密度脂蛋白）,0.0,0.04915813758249835,0.024579068791249176
10,IADL理财,0.01112083340397163,0.03419047021345106,0.022655651808711347
11,TG（甘油三酯）,0.0,0.044929813933778526,0.022464906966889263
12,IADL总分,0.0,0.040160409188931025,0.020080204594465512
13,TC（总胆固醇）,0.0,0.03922661805716509,0.019613309028582545
14,ADL洗澡,0.005547341470948375,0.03276546228053626,0.01915640187574232
15,TG_HDL_ratio,0.006627720540054227,0.029962011237938693,0.01829486588899646
16,ADL吃饭,0.0,0.035761750091882046,0.017880875045941023
17,活动量表总分（ADL总分+IADL总分）,0.0,0.03571140425031377,0.017855702125156886
18,non_HDL_C,0.0039080346593065585,0.029675934239205094,0.016791984449255826
19,IADL购物,0.006208785590029908,0.027282431674179822,0.016745608632104864
20,ADL穿衣,0.005483498297894407,0.027965347120245662,0.016724422709070035
21,ADL用厕,0.0,0.03272871671360134,0.01636435835680067
22,AIP,0.0,0.030973560405859576,0.015486780202929788
23,IADL交通,0.0,0.02998388820651019,0.014991944103255096
24,IADL服药,8.405640695752226e-05,0.029418214237262062,0.014751135322109792
25,ADL步行,0.0,0.029330500066281972,0.014665250033140986
26,血脂异常项数,0.0,0.006432716354291628,0.003216358177145814
